OTU_ID,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
OTU_26,42,45,50,74,129,123,183,247,115,177,120,158,142,166,150,132,139,189,192,209,149,193,135,167,139,185,190,195,528,503,183,265,195,375,253,187,253,233,227,134
OTU_212,25,25,36,19,21,3,24,0,2,5,10,6,6,12,43,14,21,2,20,2,5,10,6,1,14,16,47,47,33,1,28,1,3,6,13,22,11,8,16,9
OTU_69,10,10,14,12,24,16,178,91,51,19,66,137,142,41,173,15,38,92,77,223,104,232,79,46,54,35,175,181,26,50,14,27,85,294,182,63,65,117,90,139
OTU_4410,12,14,11,13,24,8,1,0,3,4,2,2,12,8,5,22,16,3,6,3,1,3,0,1,11,9,4,3,7,11,5,3,1,2,0,9,8,2,1,1
OTU_520,17,12,14,0,0,4,0,4,1,1,0,0,0,9,11,0,0,6,1,2,1,1,1,0,2,16,17,14,0,3,0,6,0,1,2,0,1,5,8,0
OTU_215,19,25,23,34,33,30,43,27,56,31,66,45,26,27,23,28,33,21,21,24,38,34,52,26,24,21,25,24,30,28,42,19,32,31,47,27,23,19,35,32
OTU_530,22,21,0,11,1,18,3,46,1,0,3,0,3,19,1,6,0,30,0,24,3,3,1,4,0,28,1,1,7,23,1,48,2,0,1,1,1,8,0,3
OTU_206,16,16,15,14,44,11,123,24,33,18,31,81,72,40,108,52,107,91,73,82,111,89,88,71,58,65,105,111,36,45,10,9,84,88,188,59,55,124,82,91
OTU_422,9,14,34,16,24,3,24,1,2,7,7,4,10,7,31,9,26,8,26,1,2,11,13,1,8,9,42,38,32,12,31,1,4,14,11,4,14,7,14,3
OTU_406,12,8,16,20,29,2,14,1,4,0,4,6,6,10,6,26,22,4,11,2,1,1,9,2,5,16,18,16,23,5,17,3,3,0,10,7,17,7,10,23
OTU_8527,0,0,1,1,9,19,0,0,37,9,0,1,0,1,0,0,2,13,0,0,24,7,1,4,0,0,0,0,1,15,0,0,23,13,0,1,0,0,0,1
OTU_4024,15,14,9,14,12,12,10,1,5,2,4,5,16,9,9,21,15,11,6,2,8,6,1,1,17,15,4,5,12,17,5,5,1,4,2,9,12,7,1,8
OTU_567,3,4,0,7,6,2,44,9,16,4,28,15,18,6,31,10,10,18,19,18,25,59,28,5,13,11,46,46,11,12,2,1,12,50,48,5,15,31,26,36
OTU_600,3,4,18,9,1,1,4,2,1,3,3,0,2,3,24,7,0,0,4,0,0,1,2,0,0,1,23,23,0,0,2,1,0,3,3,3,1,2,8,1
OTU_159,24,21,11,5,9,4,1,10,1,7,7,5,7,21,17,14,12,7,8,16,11,7,5,8,7,22,8,8,14,6,6,15,6,4,6,4,5,12,8,9
OTU_543,14,12,10,2,0,13,0,6,6,2,1,0,4,5,10,0,1,5,1,4,4,0,1,3,5,15,18,20,2,12,1,5,8,0,0,0,2,4,6,1
OTU_50,16,17,8,48,23,13,20,5,2,3,4,16,19,14,14,28,20,18,11,5,3,2,6,6,21,24,12,12,37,21,12,8,6,5,4,9,48,12,9,21
OTU_3838,8,7,24,10,13,2,17,0,2,4,8,3,9,10,23,8,8,7,14,2,2,3,4,1,11,11,23,23,14,4,6,1,5,5,10,14,9,1,4,4
OTU_123,7,10,11,17,7,6,9,6,6,7,4,2,10,10,8,6,3,8,11,3,9,9,10,3,5,8,4,3,4,4,4,2,8,5,3,3,4,4,11,5
OTU_1919,4,4,5,7,7,7,11,3,12,13,14,5,6,6,11,11,8,4,6,0,9,7,12,4,2,5,7,7,11,5,4,1,6,10,16,2,5,7,10,10
OTU_2719,2,2,7,8,11,12,11,4,7,19,17,5,9,2,6,8,10,13,6,2,12,15,10,9,3,4,18,18,30,29,10,5,12,27,18,7,14,9,12,12
OTU_340,21,18,27,29,47,42,50,12,30,62,42,25,43,53,40,60,52,55,37,22,55,65,46,45,42,47,65,62,135,129,57,19,47,110,59,48,64,80,75,66
OTU_3870,11,11,12,8,6,6,5,3,6,7,8,3,1,6,3,4,3,1,2,3,9,4,3,6,3,6,6,7,4,6,4,0,7,3,5,2,4,2,10,2
OTU_4714,4,3,6,6,2,3,0,0,5,6,2,0,1,0,1,1,0,0,1,0,4,2,4,0,0,3,0,0,1,0,0,0,1,2,1,3,0,4,3,5
OTU_2955,5,5,5,7,1,9,3,1,5,4,4,3,1,1,1,2,2,5,2,0,1,7,1,0,2,2,4,4,3,1,6,1,2,1,1,0,4,4,8,3
OTU_286,1,2,0,2,3,1,0,0,2,4,1,0,6,5,8,3,0,5,3,0,3,2,2,4,2,5,3,3,1,6,1,1,3,1,1,1,1,0,5,2
OTU_241,10,11,9,12,8,6,6,5,4,12,9,10,0,6,6,3,0,4,5,2,7,4,11,7,2,1,5,3,4,0,4,6,11,6,8,3,7,5,10,8
OTU_2085,1,0,0,0,0,1,1,0,0,0,2,2,5,2,2,2,0,0,1,1,0,3,1,2,2,0,2,0,0,2,0,1,2,0,0,1,1,2,0,1
OTU_9626,0,0,0,0,2,5,0,0,4,0,1,1,0,3,4,3,1,2,0,1,1,2,3,1,0,2,1,1,3,2,4,1,2,1,2,0,1,2,4,3
OTU_1745,12,14,10,16,5,11,6,1,12,13,12,5,3,3,6,11,13,5,3,0,9,5,5,9,4,6,8,7,6,6,6,1,19,12,9,2,3,7,14,11
OTU_663,0,0,1,0,1,1,1,4,5,0,4,2,3,0,3,6,1,1,4,1,2,2,0,3,0,0,6,6,3,2,2,2,0,1,1,0,3,0,1,1
OTU_62,7,7,10,5,5,14,4,18,5,10,7,9,19,20,11,8,9,9,15,24,10,14,10,10,19,14,10,10,9,8,11,7,6,6,18,7,8,17,15,12
OTU_3128,2,2,3,1,1,1,0,0,1,0,2,2,0,0,0,0,1,2,0,0,3,1,1,2,0,0,0,0,2,2,1,1,1,0,2,0,0,1,2,1
OTU_221,3,3,5,1,6,3,8,8,2,7,8,10,10,10,5,6,5,8,3,14,8,2,5,10,9,4,3,3,4,4,9,16,6,4,5,10,13,8,8,2
OTU_2067,10,10,5,10,6,15,4,1,12,11,9,4,4,6,2,1,8,5,3,1,2,6,11,4,2,10,5,5,4,6,5,2,6,3,8,2,5,4,7,8
