OTU_ID,Atom02,Atom5,Atom10,Atom20,Atom30,Atom40,Atom50,Atom60,Atom70,Atom80
OTU_111,-0.494168345,-0.678822029,-0.784338284,-0.415030916,-0.573305457,-0.661235934,1.088577227,1.624952027,0.393927728,0.499443983
OTU_112,-0.760360563,1.267267859,0.464664958,7.62E-07,-0.211210929,0.549148872,-0.549149634,-0.929329916,0.464664958,-0.295696367
OTU_117,1.068704168,0.155571074,0.020291826,-0.317905684,0.054111028,0.020291216,-0.453184322,-0.622283382,-0.791381832,0.865785906
OTU_123,1.465611043,0.161138909,-0.52946195,0.621541327,-0.069059532,0.391341502,-0.452728214,-0.913127865,-0.52946195,-0.145793269
OTU_124,-0.780125853,-0.458861106,-0.826015497,-0.275341423,-3.56E-06,-0.367119884,1.376682454,1.147235061,-4.39E-06,0.18355419
OTU_1321,1.633261698,-0.06805142,0.515255985,-0.019444077,-1.186059763,0.126383213,-0.408315096,-0.748579648,-0.068052297,0.223601406
OTU_134,-0.83218254,-0.413474621,-0.871436518,-0.256458473,-0.151781907,-0.439643704,0.751057935,1.300612447,0.437026819,0.476280561
OTU_135,0.602844016,0.102019815,-0.157666993,0.510098942,-0.268961483,-0.751236268,0.009274407,0.268961215,0.32460846,-0.639942112
OTU_1418,0.884380356,-0.043677176,0.61142139,-0.371228919,-1.080873994,0.12009722,0.010913633,-0.043677176,-0.098268969,0.010913633
OTU_142,-0.749380132,0.290429924,-0.28325816,0.039440821,-0.24740322,-0.139836462,0.075296407,1.079250877,0.039440175,-0.10398023
OTU_150,-1.28069217,-0.710651675,-0.824660185,0.087405839,0.619444867,0.657447704,0.581442031,0.733453377,-0.064604822,0.201415034
OTU_1524,1.889921288,-0.630225532,-0.378001345,-0.125777158,-0.630225532,-0.126195259,0.378253115,-0.378001345,-0.125777158,0.126028928
OTU_154,-0.788909763,-0.38434049,-0.738339402,0.32365551,0.070800056,-0.384341402,0.475369329,0.17194169,-0.03034249,1.284506964
OTU_155,-0.551471839,-0.832161033,-0.799138705,-0.766116377,-0.518449511,-0.567983003,1.34730846,1.462886311,0.934529953,0.290595744
OTU_159,1.031987336,-0.613828594,-0.791759865,0.943022101,0.231301829,-0.302488776,0.320267063,0.142335792,-0.791795962,-0.169040924
OTU_1673,0.657230015,0.333982039,0.441730717,0.118570179,-0.312430361,0.657231958,-0.527931602,-1.282094622,0.549481337,-0.63576966
