ID,CO2,Growth,CUE,Turnover
Atom5_1,1487.945629,521.7306113,0.259609285,94.4994854
Atom5_2,1442.65194,664.1447873,0.315239139,74.4579896
Atom5_3,1557.95337,687.1280593,0.306059304,72.2370018
Atom5_4,1462.951612,587.901557,0.286661944,83.04598918
Atom10_1,1494.228998,692.7900096,0.316773657,71.16626049
Atom10_2,1445.879235,586.476395,0.288569769,84.31862917
Atom10_3,1428.004193,722.6109306,0.336001976,68.68989764
Atom10_4,1528.408298,562.074802,0.268873162,86.86186637
Atom20_1,1373.995229,627.3377623,0.313459962,78.59127451
Atom20_2,1283.01845,659.1690753,0.339395175,75.02003283
Atom20_3,1379.906052,504.6781629,0.267792842,98.35192902
Atom20_4,1340.359641,681.247876,0.336983252,71.66681624
Atom30_1,1265.163419,578.384157,0.313734326,85.24312724
Atom30_2,1255.958473,608.3226884,0.326304155,81.29054958
Atom30_3,1307.916305,564.0697905,0.301321571,87.99632899
Atom30_4,1496.138135,659.7490277,0.306022059,74.00218007
Atom40_1,1331.034893,739.9976885,0.357308569,66.62625445
Atom40_2,1401.747183,689.0968424,0.329578311,71.76188109
Atom40_3,1269.126689,651.3575809,0.339163195,76.20402726
Atom40_4,1386.045054,744.41598,0.34941544,65.58546251
Atom50_1,1305.460951,658.1754082,0.335181922,74.9090192
Atom50_2,1327.516065,626.8522039,0.320744158,78.8876315
Atom50_3,1401.679538,648.1836482,0.316208249,76.57717222
Atom50_4,1180.177784,690.0513644,0.368966212,70.75251041
Atom60_1,1241.84451,558.2928847,0.310139041,88.31076956
Atom60_2,1204.884178,642.9439964,0.34794577,76.91320853
Atom60_3,1232.066207,589.01932,0.323444073,84.26900301
Atom60_4,1224.162325,709.2477169,0.366837712,68.83753755
Atom70_1,1273.664829,708.3680228,0.357394693,69.60121392
Atom70_2,1444.848346,798.0053035,0.355799097,61.96811657
Atom70_3,1440.643215,745.1049931,0.340892419,66.61621022
Atom70_4,1283.518653,697.7927126,0.352187306,69.96757843
Atom80_1,1272.897391,635.4282579,0.332976847,77.59062282
Atom80_2,1330.074443,658.5159708,0.331147111,75.09443637
Atom80_3,1205.478817,629.0804217,0.342905483,78.90258407
Atom80_4,1331.09619,662.2244975,0.332221755,73.72555157
