ID,C_degradation,C_fixation,N_cycling,P_cycling,S_cycling,Methane
Atom5_1,605.8291961,4198.767126,1328.143349,1259.45749,308.5095115,197.481921
Atom5_2,613.6933242,4810.825635,1185.550027,1000.786827,390.8116446,193.6881649
Atom5_3,361.3410441,2177.501814,705.5743908,576.6165629,168.3471801,105.7679948
Atom5_4,534.4837483,3786.413267,1029.75018,758.2470134,274.7129946,143.0579774
Atom10_1,448.7516402,2913.495936,882.9286452,644.1109486,235.8845249,111.682107
Atom10_2,493.9556716,3331.110008,911.1151622,663.2222566,334.8003966,153.3393093
Atom10_3,710.8846119,5222.555483,1454.883715,1251.993166,426.4830652,241.8490981
Atom10_4,700.1996354,4922.727591,1378.05573,1204.028055,527.1712662,238.5210681
Atom20_1,762.533382,3924.877087,1111.533405,1108.298589,290.7137724,215.3470001
Atom20_2,707.2051256,4474.800094,1106.798363,900.7785964,331.9211629,197.1365411
Atom20_3,647.4924731,4164.239438,1069.140073,1170.321087,322.2318387,215.4135341
Atom20_4,663.963577,4503.213819,1180.088974,1049.665851,279.9744821,180.4640455
Atom30_1,782.7370147,4409.972668,1362.906063,1172.712822,306.7390632,183.3537474
Atom30_2,809.2406547,3941.665107,989.9673864,724.6682047,267.4187255,149.2677002
Atom30_3,646.8663083,3359.000362,927.7499031,822.3153785,266.8168762,159.8191613
Atom30_4,859.1899903,4252.635214,1280.599176,1274.66445,321.7386904,236.6424649
Atom40_1,682.2810914,4651.587824,1127.252782,701.741314,322.902751,179.7201969
Atom40_2,744.5903501,3772.094918,1078.895672,945.2177596,305.2069752,217.0203294
Atom40_3,698.4127203,3778.519775,994.4421051,751.6793373,307.8462667,151.3330331
Atom40_4,689.8663812,3320.318222,797.2373018,644.9988767,261.7746669,148.8458552
Atom50_1,827.9212125,6112.041718,1520.006843,997.5985094,558.8462232,221.9355588
Atom50_2,834.577051,5662.427826,1531.19377,1490.372377,465.7484913,275.7598569
Atom50_3,652.374904,3890.103416,1037.05339,885.5364328,487.4965702,176.6584419
Atom50_4,638.959073,3724.112947,982.3069892,1007.876397,354.474509,161.2460085
Atom60_1,640.9614913,4658.984967,958.6573484,778.8534212,440.212693,204.497889
Atom60_2,675.1292897,3927.591089,857.5860398,698.5388892,313.5347585,171.2512709
Atom60_3,817.6519412,6466.665771,1280.895121,851.1051022,558.9305694,241.1964146
Atom60_4,942.833678,5657.732986,1352.006185,1000.118046,481.232217,260.4017075
Atom70_1,863.2297648,4951.175182,1141.118646,1270.309658,423.2893719,218.2328154
Atom70_2,887.7248535,6572.198574,1356.673877,1493.447273,572.200638,301.9398769
Atom70_3,887.1141436,5836.623353,1302.311694,1256.188775,513.2751815,237.8765112
Atom70_4,697.2892693,3948.580471,982.891375,1125.747671,340.6982422,193.0016396
Atom80_1,1084.49263,5273.470578,1234.643688,1107.165592,479.2537451,276.5631629
Atom80_2,905.1185618,4968.321894,1086.402739,1191.564343,375.1798346,217.8790189
Atom80_3,803.3415173,5203.999398,1083.913969,1027.567065,426.9859731,248.2652294
Atom80_4,951.4990659,4760.203898,1242.854494,1065.991041,398.3981002,230.9865895
