ID,Firmicutes,Acidobacteriota,Actinobacteriota,Bacteroidota,Chloroflexi,Planctomycetota,Proteobacteria,Verrucomicrobiota,Desulfobacterota,Myxococcota,Methylomirabilota
Atom5_1,0.015638089,0.005379027,0.020684349,0.000110908,0.00133094,0.003050009,0.019797317,0.002495425,0.000499131,0.001940886,0.000443631
Atom5_2,0.007264554,0.005600843,0.024566073,0.000554585,0.001552755,0.002772787,0.022292557,0.002439972,0.000388223,0.001608163,0.000332723
Atom5_3,0.029002475,0.005323573,0.021183524,0.000443631,0.002218202,0.002939103,0.02312432,0.00305001,0.000554539,0.001829979,0.000332723
Atom5_4,0.010702785,0.004325496,0.031497902,0.000332723,0.002162702,0.002772741,0.025786291,0.001774525,0.000388177,0.001663617,0.000277316
Atom10_1,0.01014811,0.006321744,0.017689837,0.001552709,0.00127544,0.003160918,0.021239116,0.004214496,0.000277316,0.001885432,0.000277269
Atom10_2,0.008262723,0.005933567,0.02340159,0.000554539,0.001219986,0.002939056,0.023956174,0.00327178,0.000831809,0.001885432,0.000388223
Atom10_3,0.01330912,0.005767204,0.021738016,0.000831854,0.001386347,0.003382688,0.019908087,0.004769035,0.000665447,0.001497255,0.000443677
Atom10_4,0.017190797,0.006210928,0.023567949,0.0000555,0.001663617,0.003216327,0.018466286,0.003049963,0.000554539,0.001552709,0.000499085
Atom20_1,0.020961615,0.005489934,0.038873179,0.000887263,0.000998263,0.002939103,0.020628986,0.002107293,0.000110908,0.001441801,0.000610039
Atom20_2,0.01641435,0.006543561,0.032218756,0.000499131,0.001940932,0.00227361,0.024843529,0.002051794,0.000499085,0.00171907,0.000443677
Atom20_3,0.031608717,0.007098098,0.02234801,0.000443632,0.001497301,0.002329064,0.020684487,0.002107294,0.001663616,0.001386347,0.000388177
Atom20_4,0.017079936,0.008207176,0.025231612,0.000499086,0.001386439,0.003049964,0.021072616,0.002384564,0.000554539,0.001774524,0.000277316
Atom30_1,0.020351624,0.00826263,0.023567948,0.0000555,0.00133094,0.002218201,0.020296311,0.002495425,0,0.001053624,0.000332723
Atom30_2,0.018299784,0.005878112,0.030777002,0.000499085,0.001829979,0.002495425,0.027616175,0.001497256,0.000221816,0.001719071,0.000610039
Atom30_3,0.018965277,0.005822705,0.026562504,0.000221862,0.001441848,0.002939103,0.023013505,0.001830024,0.000499085,0.000942762,0.000332723
Atom30_4,0.023623448,0.007209051,0.03332788,0.000887354,0.001497301,0.002883694,0.023179914,0.001940886,0.000110908,0.001441801,0.000332723
Atom40_1,0.01974177,0.006155381,0.030388732,0.000887309,0.000998216,0.003382688,0.023013644,0.003216326,0.000388177,0.001719071,0.000499085
Atom40_2,0.027338863,0.005989112,0.02451071,0.000554539,0.001663663,0.002828194,0.026451691,0.002828148,0.000277316,0.001330893,0.000221816
Atom40_3,0.017523521,0.007042645,0.023900628,0.001109079,0.001220032,0.003271871,0.020241039,0.003992681,0.000720901,0.001330893,0.000499131
Atom40_4,0.01009293,0.007430821,0.030000601,0.0000555,0.001386393,0.003105418,0.022514374,0.001829979,0.000388177,0.002162702,0.000443631
Atom50_1,0.016858076,0.007264506,0.038762318,0.000831808,0.002329064,0.002218155,0.02007445,0.001608163,0.000110908,0.002218155,0.000332769
Atom50_2,0.01896523,0.007486321,0.08467809,0.000388178,0.001608209,0.001275486,0.025897153,0.001885432,0.000111,0.001608163,0.000554539
Atom50_3,0.03382692,0.007153552,0.060999278,0.000277316,0.001109124,0.00199634,0.027727083,0.001940886,0.001552708,0.001497255,0.000111
Atom50_4,0.033882373,0.007375367,0.063106525,0.00033277,0.001109124,0.001885433,0.028059806,0.001829978,0.001441801,0.001441801,0.000111
Atom60_1,0.018244465,0.00598902,0.054954803,0.000221862,0.001275486,0.00182998,0.050574088,0.002606379,0.000221816,0.001608162,0.000110908
Atom60_2,0.014861782,0.004491765,0.065657451,0.000499085,0.001441801,0.001497302,0.051849621,0.002107247,0,0.002107248,0.000221816
Atom60_3,0.013031709,0.006931781,0.064659282,0.000610039,0.001774525,0.002495471,0.023346272,0.002772695,0.000332724,0.002218156,0.000277316
Atom60_4,0.008318407,0.006488197,0.088892631,0.000942808,0.002772741,0.002495563,0.029945469,0.001275486,0.000388223,0.002329064,0.000332769
Atom70_1,0.01597086,0.007708091,0.055065758,0.001719071,0.001552709,0.002661833,0.024399805,0.002273655,0.000609993,0.001552708,0.000610039
Atom70_2,0.029667971,0.00731996,0.049742138,0.000499131,0.001940886,0.003049965,0.038928815,0.002495426,0.000499085,0.001330893,0.000443677
Atom70_3,0.029778879,0.005323618,0.047579483,0.001164532,0.001885432,0.002772694,0.027505405,0.003770911,0.000609993,0.001608163,0.000166408
Atom70_4,0.019020732,0.006931782,0.068707369,0.00099817,0.002162747,0.003050011,0.02101744,0.001885433,0.000332724,0.002107248,0.000332723
Atom80_1,0.01730166,0.008539991,0.080408136,0.000665493,0.002162701,0.002440018,0.02939084,0.001663616,0.000443677,0.001497255,0.000443631
Atom80_2,0.021017117,0.006876373,0.046359453,0.000221816,0.002162748,0.002717287,0.030444233,0.001829979,0.000388177,0.001719071,0.000388177
Atom80_3,0.017079937,0.007153599,0.030333325,0.000221816,0.002107294,0.002883602,0.029224338,0.002939056,0.00099817,0.00127544,0.000443677
Atom80_4,0.022348103,0.006266381,0.032884156,0.000277362,0.001497254,0.001996433,0.02284728,0.002939055,0.000499131,0.00199634,0.000332769
