OTU,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
abfA,168.3072163,150.9626091,157.8403938,132.4397607,105.2344987,128.5320314,72.58733902,101.7845243,83.39342094,80.36331977,140.9180723,187.8735221,123.5261356,115.6414184,109.573722,123.3023572,132.5420309,99.08258776,98.55144821,161.7903735,108.2258967,134.9192647,97.94780137,88.55902608,0,0,0,0,0,0,0,0,0,0,0,0,122.5251159,110.6917911,84.66383802,88.73097551
lig,9.215797879,7.973169901,6.693969675,7.076379121,5.759523956,8.368945082,4.071442108,6.292366172,6.868441904,7.71720923,9.384361111,9.239139257,8.530439673,6.353649241,7.734004752,8.799231954,8.053487647,8.203107647,7.119131428,9.237721542,7.863134715,7.655825598,6.700029226,7.225076154,13.09830834,13.49359572,8.75750098,9.780185235,8.029907878,7.001509593,9.819476797,11.46265723,10.28954222,12.03117398,11.41195887,8.371034639,12.95353729,10.28996366,11.15826325,10.87335153
cex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.201528662,3.983815578,3.819986405,3.2991363,8.435966302,8.827468859,6.85928183,7.520021112,5.981684825,7.001509593,6.052413464,7.242132598,7.910025555,9.644093547,8.164958168,6.704737177,9.221368279,7.373522106,8.189896368,7.992566459
pgu,1.887535453,1.273179149,1.669117638,1.172425855,1.948154173,1.525927506,0.919944917,1.208823505,1.098952408,1.082255663,1.573719274,1.987284571,1.44168187,1.547545605,1.507651115,1.388072331,1.923511726,1.808342654,1.506584895,1.974835678,1.532656616,1.824143565,1.304180606,1.313209828,2.150637393,2.223416168,1.40163436,1.723399992,1.721255867,1.748291143,1.627819831,2.28269628,2.224410276,2.200584807,2.522269421,2.018397815,2.37469171,2.365683416,2.032897186,2.239106665
amyA,8.090309156,7.720763968,6.043137641,6.58557687,5.798838506,6.828666247,3.159541291,4.493977832,4.584705393,4.845863674,7.04642103,7.859176834,5.573733163,6.042093065,6.016441191,6.618828031,7.14809554,5.662733587,5.177998002,5.925273978,6.254335749,7.098202241,5.588033064,5.077205345,8.675649362,8.497942523,7.129934195,5.033169349,6.863911325,5.725402423,7.947374696,8.766432845,9.995784688,10.74103973,7.517157455,7.872656564,11.7440912,10.22458584,8.280688476,8.321071546
glx,26.78213901,31.43689241,25.82946934,26.76999671,27.2103391,28.47199691,17.53165323,24.64168346,22.45981782,25.79256774,32.00215807,35.89482948,28.81759532,27.52646149,24.31960982,32.85485304,27.03238611,35.953146,27.18228807,29.29244868,21.14395501,27.95115602,25.27989834,28.99511475,36.67055608,36.25984001,31.99145583,30.00418637,25.76514064,20.56296748,32.45944694,27.95942472,27.42148705,32.16779859,27.53146108,26.68359037,32.40781137,25.77677118,26.04788384,27.94636045
manB,107.0195272,60.13085205,80.33499273,61.03235089,74.98407328,94.18952425,54.13768179,81.76862524,63.08811927,60.33174411,91.44449989,82.27185469,76.65025069,85.03441319,87.87016734,71.53393199,94.74521363,76.1190467,68.57022016,103.3757845,77.50244951,75.91044864,80.36753725,95.20815972,116.6270642,111.8271854,82.06517807,78.01247296,94.24220289,79.70066786,106.9991244,120.464175,108.4008473,133.6879973,122.6746827,84.08822073,135.6484345,112.1040343,97.66825908,124.6632454
mnp,93.82535268,60.10155959,81.84024862,59.1545437,61.82595677,77.71228199,38.84896659,60.71563623,68.94279484,87.4464868,95.80332586,82.27185469,97.35164552,79.40387784,76.72564336,94.48832437,79.38963551,99.19078805,74.04913857,93.52483517,76.07562157,67.94122844,78.44507668,64.66329514,113.422011,135.7772384,82.89338626,80.10774422,88.87519032,68.90836505,106.9991244,139.5883363,129.5114645,121.2214126,122.6746827,91.77649906,137.1026378,114.6482603,117.8743868,124.354341
naglu,0.293712708,0.248436543,0.187920033,0.233651604,0.13342911,0.150611541,0.064201269,0.099819095,0.100225632,0.146797156,0.275758926,0.280702737,0.272290381,0.236105761,0.306623617,0.188802159,0.19424152,0.202479334,0.170393859,0.174522069,0.154342465,0.257504936,0.141094044,0.174855628,0.213807021,0.282689875,0.158567321,0.220199871,0.223835289,0.241294796,0.34589307,0.334626193,0.259480471,0.337851118,0.301210884,0.301620813,0.377929405,0.299578413,0.297131486,0.278023385
sga,332.7608543,301.9220685,278.7734431,258.3605093,229.5987676,181.1838162,120.6595215,172.7369464,146.3359673,167.0018154,242.8390857,222.0910027,337.5402869,299.8716986,235.5678457,252.4866121,328.8266085,360.7209289,271.8898729,331.095261,300.2947296,320.6375409,323.1217957,302.7701072,417.360718,399.7490177,364.7457618,355.5509342,329.3380382,413.7772022,449.0524845,510.8406815,455.0692577,436.2136784,472.3741397,372.647458,510.1027081,406.8975859,358.8045912,446.6314038
chiA,9.808157805,8.249795824,9.324296645,8.071772254,14.15610841,11.41498441,8.616008819,9.93807748,9.905314098,8.71279354,16.52272163,13.57481941,14.80243265,12.78075653,14.1439909,12.7878227,15.96799633,20.99205224,15.87098973,19.12426082,16.29957123,19.14742398,14.90986434,15.47719876,26.78968026,24.25025788,15.88600045,15.41625453,17.55278916,18.94710931,20.52562296,25.09961912,24.4935143,28.92591867,22.50445438,17.60443284,28.30956928,27.50095218,24.29016397,23.09498485
xylA,86.6004438,44.24266276,63.30248519,53.09447537,74.72035669,69.82773767,37.47571859,66.22749504,38.21542973,46.58410001,66.78266382,50.04135498,60.74808564,66.00770294,76.46416086,51.98410933,79.16204745,92.23332863,70.17364098,94.94184732,55.06881078,69.16175898,52.77468626,70.22555422,75.00004242,84.57454786,41.98917457,48.44415853,54.80720684,44.94741173,65.89576858,78.77785132,77.68804254,89.59483982,79.17165129,70.81999837,70.39405218,66.6890625,53.65922402,75.26159027
apu,5.235738068,5.291529934,4.566726695,3.519202166,3.66611998,4.884175236,2.99900208,4.218138284,3.326231337,3.471372288,5.62388406,6.231014142,6.131549984,5.883888217,6.173959876,6.418552897,6.685129648,8.21447663,5.603570293,7.508969854,6.845691606,7.204634448,6.862370058,5.973386456,8.179774527,7.752198004,7.637791617,6.472540375,6.817051976,5.852156132,8.811864124,8.863117695,9.00528861,9.854265199,9.156825145,7.342597548,9.915546089,8.991193689,9.001647262,9.945201747
pox,0.790856812,0.537125126,0.633714958,0.493583219,0.793029829,0.602625777,0.270022901,0.357635268,0.432219574,0.459346268,0.667940211,0.58307981,1.147254576,0.875514702,1.08865261,1.112078913,1.066630177,0.857636521,1.001031237,1.223856223,0.818367161,0.897402103,1.150366999,0.90505563,1.296997562,1.061652644,0.859236674,0.673806288,0.743276102,0.715402372,1.115527452,1.151927154,0.960619559,1.104199729,1.108691768,1.058025383,1.415137202,1.265577217,1.37264632,1.166843316
rbcL,172.7447854,114.6175346,146.8561757,107.5641587,141.9639488,116.3573851,68.76671231,96.5835076,94.23174405,96.41106641,124.3671533,92.60119809,102.6188836,112.242202,119.6232409,108.7701282,112.6794247,105.7666204,88.93505456,131.3926869,95.83129585,104.7583212,77.29558561,78.45484434,116.4777725,123.9012485,84.40256543,88.97870072,71.69400098,84.13404873,101.8399867,118.1583147,83.07554603,102.0775015,96.13793697,83.26918066,85.00075542,91.6718075,81.81411628,95.94724384
frdA,79.10399943,68.76289241,67.16319982,52.939933,64.59647383,53.94030985,31.62653082,43.46824679,31.67204101,39.40054785,52.97386904,49.19995286,52.19193538,51.7875369,49.93771824,44.52534157,66.72037361,47.37697641,49.6883998,57.71140388,44.60971664,49.48212896,35.00714487,36.41934034,61.05153746,64.84644953,44.57545709,36.59738729,35.46830951,31.36108146,50.42545913,43.00422557,50.48014159,55.08954414,49.81017068,42.03818524,43.43777652,41.87597499,39.8582098,42.65271408
acsA,1252.000674,746.6608177,1171.225765,768.5242966,910.8866526,767.5640793,474.5866783,817.3374311,571.2453678,788.0438979,1191.751463,1370.77659,910.1684394,993.498645,857.1284425,894.2427114,1052.068625,772.536563,594.3948978,951.501232,763.5163307,636.6145071,576.5600824,512.5599834,1151.344115,1018.396809,866.9316554,811.8099845,738.6906209,584.9250978,750.8766062,900.0199396,759.9382679,988.2418155,1036.327513,757.7594382,919.0208132,778.4874475,729.0540819,779.8536285
acsE,444.8369558,325.7938775,392.7342346,315.5080085,304.5278275,244.3739903,183.6263046,256.4901633,252.60633,329.3772267,443.6542984,430.9427625,357.0892566,275.7673497,362.4754613,387.3509495,288.651291,298.4832471,317.5565029,357.7818279,381.5779109,384.2399863,289.3567993,297.8912951,420.4105869,414.2649677,357.0300784,398.6153298,307.6177417,239.054962,365.4300864,345.9010008,270.5339813,344.9518416,337.4554956,279.6004063,316.9199793,318.5035555,286.5935223,270.1489328
