OTU_ID,Atom02_1,Atom02_2,Atom02_3,Atom02_4,Atom5_1,Atom5_2,Atom5_3,Atom5_4,Atom10_1,Atom10_2,Atom10_3,Atom10_4,Atom20_1,Atom20_2,Atom20_3,Atom20_4,Atom30_1,Atom30_2,Atom30_3,Atom30_4,Atom40_1,Atom40_2,Atom40_3,Atom40_4,Atom50_1,Atom50_2,Atom50_3,Atom50_4,Atom60_1,Atom60_2,Atom60_3,Atom60_4,Atom70_1,Atom70_2,Atom70_3,Atom70_4,Atom80_1,Atom80_2,Atom80_3,Atom80_4
OTU_1,399,420,458,464,388,490,387,460,424,384,324,558,374,471,468,444,519,522,449,529,489,462,401,501,429,373,467,471,356,394,407,553,417,374,343,429,404,356,391,359
OTU_10,0,0,1,1,0,3,2,2,5,0,5,4,2,1,3,0,2,2,5,0,4,0,5,3,2,1,1,2,3,1,4,1,2,1,6,2,3,3,1,2
OTU_100,23,20,21,20,22,14,21,33,17,19,23,16,34,25,19,25,15,21,21,41,23,25,14,31,22,22,20,22,17,18,18,31,15,8,17,26,31,25,30,21
OTU_1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
OTU_10003,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0
OTU_10005,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,3
OTU_10012,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_10027,0,0,0,0,1,1,1,0,1,0,0,0,2,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,3,0,2,1,0,0,0,1,0,1
OTU_10036,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
OTU_10040,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1
OTU_10077,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0
OTU_10080,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
OTU_10083,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,2,0,1,0,0,2,0,0,0,0,1
OTU_10093,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU_10096,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0,0,0,0,0
