OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_1,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__Subgroup_2,g__Subgroup_2,Undefined
OTU_2,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,Undefined
OTU_3,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__uncultured,s__metagenome
OTU_4,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,Undefined
OTU_5,d__Bacteria,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
OTU_6,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__Gaiellaceae,g__Gaiella,Undefined
OTU_7,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Bradyrhizobium,Undefined
OTU_8,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Gaiellales,f__uncultured,g__uncultured,s__uncultured_Rubrobacterales
OTU_9,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__uncultured,Undefined
OTU_10,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,Undefined,Undefined,Undefined,Undefined
OTU_11,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__Mesorhizobium,Undefined
OTU_12,d__Bacteria,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
OTU_13,d__Bacteria,p__Planctomycetota,c__Planctomycetes,Undefined,Undefined,Undefined,Undefined
OTU_14,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__Rokubacteriales,g__Rokubacteriales,s__uncultured_bacterium
OTU_15,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__uncultured,g__uncultured,s__uncultured_bacterium
OTU_16,d__Bacteria,p__Planctomycetota,c__Planctomycetes,Undefined,Undefined,Undefined,Undefined
OTU_17,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__AlcaligeUndefinedceae,g__Achromobacter,Undefined
OTU_18,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__MicroluUndefinedtus,s__uncultured_bacterium
OTU_19,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Isosphaerales,f__Isosphaeraceae,g__Aquisphaera,Undefined
OTU_20,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__A21b,g__A21b,s__uncultured_bacterium
OTU_21,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_brevis
OTU_22,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__Bacillus_mycoides
OTU_23,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae_(Subgroup_1),g__Acidipila,Undefined
OTU_24,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Xiphinematobacteraceae,g__Candidatus_Xiphinematobacter,s__metagenome
OTU_25,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__uncultured,g__uncultured,Undefined
OTU_26,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__Massilia,Undefined
OTU_27,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Gammaproteobacteria_Incertae_Sedis,f__Unknown_Family,g__Acidibacter,Undefined
OTU_28,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,Undefined
OTU_29,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Candidatus_Udaeobacter,s__uncultured_Spartobacteria
OTU_30,d__Bacteria,p__Planctomycetota,c__Planctomycetes,Undefined,Undefined,Undefined,Undefined
OTU_31,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__uncultured,s__uncultured_Beijerinckiaceae
OTU_32,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__uncultured_Green
OTU_34,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Puia,s__metagenome
OTU_35,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__uncultured,s__uncultured_TerrimoUndefineds
OTU_36,d__Bacteria,p__Actinobacteriota,c__MB-A2-108,o__MB-A2-108,f__MB-A2-108,g__MB-A2-108,s__uncultured_Methylocystaceae
OTU_37,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__uncultured,s__metagenome
OTU_38,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__uncultured,g__uncultured,s__uncultured_bacterium
OTU_39,d__Bacteria,p__Planctomycetota,c__Planctomycetes,Undefined,Undefined,Undefined,Undefined
OTU_40,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__XanthomoUndefineddales,f__Rhodanobacteraceae,g__Rhodanobacter,s__uncultured_XanthomoUndefineddaceae
OTU_41,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__A21b,g__A21b,Undefined
OTU_42,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__uncultured,f__uncultured,g__uncultured,s__Rhodospirillaceae_bacterium
OTU_43,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Mycobacteriaceae,g__Mycobacterium,Undefined
OTU_44,d__Bacteria,p__Acidobacteriota,c__ViciUndefinedmibacteria,o__ViciUndefinedmibacterales,f__uncultured,g__uncultured,s__uncultured_bacterium
OTU_45,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__ComamoUndefineddaceae,Undefined,Undefined
OTU_46,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SphingomoUndefineddales,f__SphingomoUndefineddaceae,g__SphingomoUndefineds,Undefined
OTU_47,d__Bacteria,p__Myxococcota,c__bacteriap25,o__bacteriap25,f__bacteriap25,g__bacteriap25,Undefined
OTU_48,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Xiphinematobacteraceae,g__Candidatus_Xiphinematobacter,s__uncultured_Verrucomicrobia
OTU_49,d__Bacteria,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
OTU_50,d__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_paralimentarius
OTU_51,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__uncultured,Undefined
OTU_52,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,Undefined
OTU_53,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__uncultured_bacterium
OTU_54,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__SC-I-84,Undefined
OTU_55,d__Bacteria,p__Acidobacteriota,c__ViciUndefinedmibacteria,o__ViciUndefinedmibacterales,f__uncultured,g__uncultured,Undefined
OTU_56,d__Bacteria,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
OTU_57,d__Bacteria,p__Actinobacteriota,c__MB-A2-108,o__MB-A2-108,f__MB-A2-108,g__MB-A2-108,Undefined
OTU_58,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__WD260,f__WD260,g__WD260,s__uncultured_bacterium
OTU_59,d__Bacteria,p__Acidobacteriota,c__Subgroup_11,o__Subgroup_11,f__Subgroup_11,g__Subgroup_11,s__uncultured_bacterium
OTU_60,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__Pir4_lineage,s__uncultured_bacterium
OTU_61,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_Conexibacteraceae
OTU_62,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__uncultured,s__uncultured_bacterium
OTU_63,d__Bacteria,p__Acidobacteriota,c__Blastocatellia,o__PyrinomoUndefineddales,f__PyrinomoUndefineddaceae,g__RB41,s__uncultured_Acidobacteria
OTU_64,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__uncultured,Undefined
OTU_66,d__Bacteria,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined
OTU_67,d__Bacteria,p__Acidobacteriota,c__Subgroup_25,o__Subgroup_25,f__Subgroup_25,g__Subgroup_25,s__uncultured_bacterium
OTU_68,d__Bacteria,p__Acidobacteriota,c__ThermoaUndefinederobaculia,o__ThermoaUndefinederobaculales,f__ThermoaUndefinederobaculaceae,g__Subgroup_10,s__Acidobacteria_bacterium
OTU_69,d__Bacteria,p__Firmicutes,c__Bacilli,o__Alicyclobacillales,f__Alicyclobacillaceae,g__Tumebacillus,s__uncultured_bacterium
OTU_70,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__67-14,s__uncultured_Conexibacteraceae
OTU_72,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__XanthomoUndefineddales,f__XanthomoUndefineddaceae,g__Lysobacter,s__uncultured_Acidobacterium
OTU_73,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__uncultured_Planctomycetaceae
OTU_76,d__Bacteria,p__RCP2-54,c__RCP2-54,o__RCP2-54,f__RCP2-54,g__RCP2-54,s__uncultured_bacterium
OTU_77,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__uncultured,s__uncultured_bacterium
OTU_78,d__Bacteria,p__Acidobacteriota,c__Subgroup_5,o__Subgroup_5,f__Subgroup_5,g__Subgroup_5,s__uncultured_bacterium
OTU_79,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Micrococcales,f__Micrococcaceae,g__Arthrobacter,Undefined
OTU_80,d__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,Undefined
OTU_81,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Subgroup_7,f__Subgroup_7,g__Subgroup_7,s__uncultured_Desulfovirga
