gene,function_category
abfA,C_degradation
lig,C_degradation
cex,C_degradation
pgu,C_degradation
amyA,C_degradation
glx,C_degradation
manB,C_degradation
mnp,C_degradation
naglu,C_degradation
sga,C_degradation
chiA,C_degradation
xylA,C_degradation
apu,C_degradation
pox,C_degradation
aclB,C_fixation
acsB,C_fixation
mct,C_fixation
rbcL,C_fixation
frdA,C_fixation
korA,C_fixation
accA,C_fixation
acsA,C_fixation
acsE,C_fixation
pccA,C_fixation
cdaR,C_fixation
smtA,C_fixation
mmoX,Methane metabolism
mxaF,Methane metabolism
pmoA,Methane metabolism
pqq-mdh,Methane metabolism
amoA1,N_Cycling
nirS2,N_Cycling
nosZ1,N_Cycling
nxrA,N_Cycling
ureC,N_Cycling
narG,N_Cycling
nifH,N_Cycling
nirK2,N_Cycling
nirS1,N_Cycling
hzsB,N_Cycling
nirS3,N_Cycling
nosZ2,N_Cycling
amoB,N_Cycling
napA,N_Cycling
nasA,N_Cycling
nirK1,N_Cycling
nirK3,N_Cycling
gdhA,N_Cycling
hao,N_Cycling
cphy,P_Cycling
bpp,P_Cycling
phoX,P_Cycling
ppk,P_Cycling
pqqC,P_Cycling
gcd,P_Cycling
phnK,P_Cycling
phoD,P_Cycling
ppx,P_Cycling
dsrB,S_Cycling
apsA,S_Cycling
soxY,S_Cycling
dsrA,S_Cycling
yedZ,S_Cycling
