samples,class,group
Atom02_1,Atom0.2,A
Atom02_2,Atom0.2,A
Atom02_3,Atom0.2,A
Atom02_4,Atom0.2,A
Atom10_1,Atom10,C
Atom10_2,Atom10,C
Atom10_3,Atom10,C
Atom10_4,Atom10,C
Atom20_1,Atom20,D
Atom20_2,Atom20,D
Atom20_3,Atom20,D
Atom20_4,Atom20,D
Atom30_1,Atom30,E
Atom30_2,Atom30,E
Atom30_3,Atom30,E
Atom30_4,Atom30,E
Atom40_1,Atom40,F
Atom40_2,Atom40,F
Atom40_3,Atom40,F
Atom40_4,Atom40,F
Atom50_2,Atom50,G
Atom50_3,Atom50,G
Atom50_4,Atom50,G
Atom5_1,Atom5,B
Atom5_2,Atom5,B
Atom5_3,Atom5,B
Atom5_4,Atom5,B
Atom50_1,Atom50,G
Atom60_1,Atom60,H
Atom60_2,Atom60,H
Atom60_3,Atom60,H
Atom60_4,Atom60,H
Atom70_1,Atom70,I
Atom70_2,Atom70,I
Atom70_3,Atom70,I
Atom70_4,Atom70,I
Atom80_1,Atom80,J
Atom80_2,Atom80,J
Atom80_3,Atom80,J
Atom80_4,Atom80,J
